Date,Amount
2025-07-01,4821796
2025-07-02,6228579
2025-07-03,4451795
2025-07-04,24658130
2025-07-05,18878257
2025-07-06,19732317
2025-07-07,2041009
2025-07-08,83375294
2025-07-09,9981763
2025-07-10,5528991
2025-07-11,11315749
2025-07-12,2840640
2025-07-13,6610898
2025-07-14,8330570
2025-07-15,808490
2025-07-16,16698778
2025-07-17,3406473
2025-07-18,2281519
2025-07-19,54215055
2025-07-20,19159452
2025-07-21,3743668
2025-07-22,2951767
2025-07-23,15550685
2025-07-24,7759539
2025-07-25,6142620
2025-07-26,27507854
2025-07-27,6933509
2025-07-28,7710167
2025-07-29,9290296
2025-07-30,5090473
2025-07-31,35377974
2025-08-01,29438166
2025-08-02,22187396
2025-08-03,3490479
2025-08-04,4243200
2025-08-05,21199137
2025-08-06,6728529
2025-08-07,5816738
2025-08-08,4737650
2025-08-09,11925684
2025-08-10,5051119
2025-08-11,3149882
2025-08-12,7128924
2025-08-13,9306746
2025-08-14,36251456
2025-08-15,45594267
2025-08-16,3234541
2025-08-17,10722975
2025-08-18,2243024
2025-08-19,7929032
2025-08-20,4208129
2025-08-21,7652427
2025-08-22,3206428
2025-08-23,13855916
2025-08-24,3633388
2025-08-25,39873971
2025-08-26,5774283
2025-08-27,6934337
2025-08-28,15650779
2025-08-29,44449440
2025-08-30,31772308
2025-08-31,1779692
2025-09-01,5333326
2025-09-02,7911019
2025-09-03,9228718
2025-09-04,2688576
2025-09-05,26394175
2025-09-06,22620413
2025-09-07,8337626
2025-09-08,5201114
2025-09-09,2102923
2025-09-10,5327652
2025-09-11,4100362
2025-09-12,32196131
2025-09-13,10532596
2025-09-14,40569526
2025-09-15,4158377
2025-09-16,410631
2025-09-17,19302003
2025-09-18,22797472
2025-09-19,6206471
2025-09-20,7819292
2025-09-21,6063300
2025-09-22,29742686
2025-09-23,9454750
2025-09-24,11454223
2025-09-25,34755876
2025-09-26,2625743
2025-09-27,7300881
2025-09-28,12443658
2025-09-29,9628464
2025-09-30,14133794
2025-10-01,3094814
2025-10-02,2128120
2025-10-03,6412706
2025-10-04,4281752
2025-10-05,13584685
2025-10-06,4226606
2025-10-07,538255
2025-10-08,18876828
2025-10-09,1947800
2025-10-10,2698841
2025-10-11,5071595
2025-10-12,10831322
2025-10-13,4091145
2025-10-14,18562022
2025-10-15,12990731
2025-10-16,16383539
2025-10-17,30079866
2025-10-18,21012523
2025-10-19,6134230
2025-10-20,1543973
2025-10-21,2441762
2025-10-22,19591441
2025-10-23,29353418
2025-10-24,1871311
2025-10-25,5313101
2025-10-26,7241496
2025-10-27,21362965
2025-10-28,270771
2025-10-29,25020543
2025-10-30,14084357
2025-10-31,7600946
2025-11-01,7222050
2025-11-02,4258794
2025-11-03,5436963
2025-11-04,12065819
2025-11-05,7020828
2025-11-06,1532444
2025-11-07,3352509
2025-11-08,21651097
2025-11-09,20187128
2025-11-10,2748924
2025-11-11,8192824
2025-11-12,3713207
2025-11-13,24683272
2025-11-14,10468749
2025-11-15,33944296
2025-11-16,5369288
2025-11-17,7074459
2025-11-18,3563323
2025-11-19,7617338
2025-11-20,3860774
2025-11-21,24085654
2025-11-22,3630832
2025-11-23,13441891
2025-11-24,2038936
2025-11-25,3254279
2025-11-26,27793732
2025-11-27,28712874
2025-11-28,5953105
2025-11-29,2511643
2025-11-30,19086179
2025-12-01,23142266
2025-12-02,4149325
2025-12-03,8547638
2025-12-04,1219319
2025-12-05,3614047
2025-12-06,3924722
2025-12-07,6218312
2025-12-08,24240322
2025-12-09,3341814
2025-12-10,522426
2025-12-11,7188109
2025-12-12,12090522
2025-12-13,17618601
2025-12-14,8298900
2025-12-15,31442029
2025-12-16,7000350
2025-12-17,6510267
2025-12-18,5891092
2025-12-19,3655537
2025-12-20,28022024
2025-12-21,5322544
2025-12-22,15720365
2025-12-23,20456271
2025-12-24,28072361
2025-12-25,7820133
2025-12-26,3154610
2025-12-27,3659594
2025-12-28,4109517
2025-12-29,15559621
2025-12-30,2924412
2025-12-31,6175864
