Date,Title,Amount,Type,Category,Account
2025-07-01,Parkir,1590728,EXPENSE,tagihan,Gopay
2025-07-01,Iuran Bulanan,1279308,EXPENSE,tagihan,BCA
2025-07-01,Lain-lain,69524,EXPENSE,lain-lain,Gopay
2025-07-01,Streaming,134641,EXPENSE,hiburan,Dompet Tunai
2025-07-01,Warung Nasi,1747595,EXPENSE,makan & minum,Dompet Tunai
2025-07-02,Internet,1196709,EXPENSE,tagihan,Gopay
2025-07-02,Gofood,1203766,EXPENSE,makan & minum,BCA
2025-07-02,Tissue,1230709,EXPENSE,belanja,BCA
2025-07-02,Alfamart,1603174,EXPENSE,belanja,Dompet Tunai
2025-07-02,Bioskop,893056,EXPENSE,hiburan,Dompet Tunai
2025-07-02,Iuran Bulanan,101165,EXPENSE,tagihan,BCA
2025-07-03,Streaming,406855,EXPENSE,hiburan,BCA
2025-07-03,Makan Siang,1730134,EXPENSE,makan & minum,BCA
2025-07-03,Tissue,27311,EXPENSE,belanja,Dompet Tunai
2025-07-03,Belanja Mingguan,825171,EXPENSE,belanja,BCA
2025-07-03,Lain-lain,1462324,EXPENSE,lain-lain,Gopay
2025-07-04,Parkir,872201,EXPENSE,tagihan,Dompet Tunai
2025-07-04,Streaming,526533,EXPENSE,hiburan,Gopay
2025-07-04,Cemilan,134679,EXPENSE,makan & minum,BCA
2025-07-04,Belanja Mingguan,22499,EXPENSE,belanja,BCA
2025-07-04,Bonus,22301647,INCOME,gaji,Gopay
2025-07-04,Biaya Admin,800571,EXPENSE,lain-lain,Dompet Tunai
2025-07-05,Internet,1277371,EXPENSE,tagihan,Dompet Tunai
2025-07-05,Jajan Sore,669151,EXPENSE,makan & minum,BCA
2025-07-05,Top up Game,1173777,EXPENSE,hiburan,Dompet Tunai
2025-07-05,Biaya Admin,1870661,EXPENSE,lain-lain,Gopay
2025-07-05,Investasi,13887297,INCOME,goals,Gopay
2025-07-06,Lain-lain,71718,EXPENSE,lain-lain,Gopay
2025-07-06,Cemilan,1217307,EXPENSE,makan & minum,Dompet Tunai
2025-07-06,Cashback,15241112,INCOME,goals,Gopay
2025-07-06,Gofood,1560068,EXPENSE,makan & minum,Gopay
2025-07-06,Bunga Bank,251505,INCOME,goals,BCA
2025-07-06,Biaya Admin,1287813,EXPENSE,lain-lain,Gopay
2025-07-06,Air,102794,EXPENSE,tagihan,Dompet Tunai
