"id","tanggal","deskripsi","nominal","tipe","kategori"
"1","2025-04-28","Kopi Senja","44260","Pengeluaran","Konsumsi"
"2","2025-04-28","Gojek","21072","Pengeluaran","Transportasi"
"3","2025-04-29","Makan Siang","44332","Pengeluaran","Konsumsi"
"4","2025-04-30","Makan Malam","36067","Pengeluaran","Konsumsi"
"5","2025-04-30","Grab","27008","Pengeluaran","Transportasi"
"6","2025-05-01","Gaji Bulanan","8000000","Pemasukan","Pendapatan"
"7","2025-05-01","Makan Malam","68046","Pengeluaran","Konsumsi"
"8","2025-05-02","Makan Siang","49272","Pengeluaran","Konsumsi"
"9","2025-05-02","Grab","33859","Pengeluaran","Transportasi"
"10","2025-05-03","Makan Siang","53423","Pengeluaran","Konsumsi"
"11","2025-05-03","Nonton / Jajan Weekend","333507","Pengeluaran","Gaya Hidup"
"12","2025-05-04","Makan Malam","42184","Pengeluaran","Konsumsi"
"13","2025-05-04","Gojek","35032","Pengeluaran","Transportasi"
"14","2025-05-04","Nonton / Jajan Weekend","193742","Pengeluaran","Gaya Hidup"
"15","2025-05-05","Makan Malam","77096","Pengeluaran","Konsumsi"
"16","2025-05-05","Listrik, Wifi, & Kos","1800000","Pengeluaran","Tagihan"
"17","2025-05-06","Makan Siang","64382","Pengeluaran","Konsumsi"
"18","2025-05-06","Gojek","31224","Pengeluaran","Transportasi"
"19","2025-05-07","Kopi Senja","79885","Pengeluaran","Konsumsi"
"20","2025-05-08","Kopi Senja","51850","Pengeluaran","Konsumsi"
"21","2025-05-08","Bensin Motor","38735","Pengeluaran","Transportasi"
"22","2025-05-09","Bonus / Cashback","54026","Pemasukan","Pendapatan"
"23","2025-05-09","Makan Malam","52438","Pengeluaran","Konsumsi"
"24","2025-05-10","Kopi Senja","41604","Pengeluaran","Konsumsi"
"25","2025-05-10","Gojek","32713","Pengeluaran","Transportasi"
"26","2025-05-10","Nonton / Jajan Weekend","335085","Pengeluaran","Gaya Hidup"
"27","2025-05-11","Kopi Senja","41061","Pengeluaran","Konsumsi"
"28","2025-05-11","Nonton / Jajan Weekend","215263","Pengeluaran","Gaya Hidup"
"29","2025-05-12","Makan Malam","48759","Pengeluaran","Konsumsi"
"30","2025-05-12","Gojek","27322","Pengeluaran","Transportasi"
"31","2025-05-13","Makan Siang","68060","Pengeluaran","Konsumsi"
"32","2025-05-14","Kopi Senja","44320","Pengeluaran","Konsumsi"
"33","2025-05-14","Bensin Motor","33517","Pengeluaran","Transportasi"
"34","2025-05-15","Makan Siang","59497","Pengeluaran","Konsumsi"
"35","2025-05-16","Makan Malam","61673","Pengeluaran","Konsumsi"
"36","2025-05-16","Gojek","31669","Pengeluaran","Transportasi"
"37","2025-05-17","Makan Malam","77247","Pengeluaran","Konsumsi"
"38","2025-05-17","Nonton / Jajan Weekend","347613","Pengeluaran","Gaya Hidup"
"39","2025-05-18","Kopi Senja","77418","Pengeluaran","Konsumsi"
"40","2025-05-18","Bensin Motor","24989","Pengeluaran","Transportasi"
"41","2025-05-18","Nonton / Jajan Weekend","173065","Pengeluaran","Gaya Hidup"
"42","2025-05-19","Makan Malam","71968","Pengeluaran","Konsumsi"
"43","2025-05-20","Makan Siang","67639","Pengeluaran","Konsumsi"
"44","2025-05-20","Gojek","27319","Pengeluaran","Transportasi"
"45","2025-05-21","Makan Malam","46286","Pengeluaran","Konsumsi"
"46","2025-05-22","Makan Malam","49733","Pengeluaran","Konsumsi"
"47","2025-05-22","Bensin Motor","39130","Pengeluaran","Transportasi"
"48","2025-05-23","Makan Siang","39049","Pengeluaran","Konsumsi"
"49","2025-05-24","Makan Siang","70988","Pengeluaran","Konsumsi"
"50","2025-05-24","Grab","40340","Pengeluaran","Transportasi"
"51","2025-05-24","Nonton / Jajan Weekend","278182","Pengeluaran","Gaya Hidup"
"52","2025-05-25","Makan Malam","55380","Pengeluaran","Konsumsi"
"53","2025-05-25","Nonton / Jajan Weekend","180857","Pengeluaran","Gaya Hidup"
"54","2025-05-26","Kopi Senja","40020","Pengeluaran","Konsumsi"
"55","2025-05-26","Gojek","41099","Pengeluaran","Transportasi"
"56","2025-05-27","Makan Siang","44257","Pengeluaran","Konsumsi"
"57","2025-05-28","Makan Malam","73313","Pengeluaran","Konsumsi"
"58","2025-05-28","Bensin Motor","28035","Pengeluaran","Transportasi"
"59","2025-05-29","Makan Siang","58565","Pengeluaran","Konsumsi"
"60","2025-05-30","Makan Siang","69988","Pengeluaran","Konsumsi"
"61","2025-05-30","Gojek","25451","Pengeluaran","Transportasi"
"62","2025-05-31","Makan Malam","53012","Pengeluaran","Konsumsi"
"63","2025-05-31","Nonton / Jajan Weekend","202393","Pengeluaran","Gaya Hidup"
"64","2025-06-01","Gaji Bulanan","8000000","Pemasukan","Pendapatan"
"65","2025-06-01","Kopi Senja","49718","Pengeluaran","Konsumsi"
