Tanggal,Deskripsi,Nominal,Tipe,Kategori
2025-04-22,Makan,74341,Pengeluaran,Kebutuhan Harian
2025-04-23,Gojek,80980,Pengeluaran,Kebutuhan Harian
2025-04-24,Kopi,57596,Pengeluaran,Kebutuhan Harian
2025-04-24,Bensin,50000,Pengeluaran,Transportasi
2025-04-25,Gojek,59666,Pengeluaran,Kebutuhan Harian
2025-04-26,Gojek,42137,Pengeluaran,Kebutuhan Harian
2025-04-26,Hiburan Weekend,231958,Pengeluaran,Gaya Hidup
2025-04-27,Kopi,78599,Pengeluaran,Kebutuhan Harian
2025-04-27,Bensin,50000,Pengeluaran,Transportasi
2025-04-27,Hiburan Weekend,261812,Pengeluaran,Gaya Hidup
2025-04-28,Makan,43810,Pengeluaran,Kebutuhan Harian
2025-04-29,Makan,66306,Pengeluaran,Kebutuhan Harian
2025-04-30,Gojek,78496,Pengeluaran,Kebutuhan Harian
2025-04-30,Bensin,50000,Pengeluaran,Transportasi
2025-05-01,Gaji Bulanan,8000000,Pemasukan,Pendapatan
2025-05-01,Gojek,51965,Pengeluaran,Kebutuhan Harian
2025-05-02,Kopi,52054,Pengeluaran,Kebutuhan Harian
2025-05-03,Gojek,51868,Pengeluaran,Kebutuhan Harian
2025-05-03,Bensin,50000,Pengeluaran,Transportasi
2025-05-03,Hiburan Weekend,316899,Pengeluaran,Gaya Hidup
2025-05-04,Gojek,49777,Pengeluaran,Kebutuhan Harian
2025-05-04,Hiburan Weekend,402176,Pengeluaran,Gaya Hidup
2025-05-05,Makan,43032,Pengeluaran,Kebutuhan Harian
2025-05-05,Tagihan Rutin Bulanan,1500000,Pengeluaran,Tagihan
2025-05-06,Gojek,85018,Pengeluaran,Kebutuhan Harian
2025-05-06,Bensin,50000,Pengeluaran,Transportasi
2025-05-07,Makan,68194,Pengeluaran,Kebutuhan Harian
2025-05-08,Kopi,68526,Pengeluaran,Kebutuhan Harian
2025-05-09,Makan,55244,Pengeluaran,Kebutuhan Harian
2025-05-09,Bensin,50000,Pengeluaran,Transportasi
2025-05-10,Makan,59643,Pengeluaran,Kebutuhan Harian
2025-05-10,Hiburan Weekend,361113,Pengeluaran,Gaya Hidup
2025-05-11,Kopi,64691,Pengeluaran,Kebutuhan Harian
2025-05-11,Hiburan Weekend,201346,Pengeluaran,Gaya Hidup
2025-05-12,Makan,65391,Pengeluaran,Kebutuhan Harian
